comment,network,quality,satisfaction
Audio was off sync. Please fix!,Excellent,480p,0.31
"Too much buffering, not enjoyable.",Moderate,720p,0.32
Mediocre experience.,Good,1080p,0.62
"Everything is perfect, thanks!",Very Poor,720p,0.87
Decent audio but poor video.,Excellent,360p,0.84
Audio was off sync. Please fix!,Very Poor,480p,0.39
I’m having a blast watching this!,Very Poor,480p,0.95
"Loved the stream quality, keep it up!",Good,480p,0.98
Great commentary and visuals!,Excellent,720p,1.0
Amazing gameplay and no lag at all!,Excellent,720p,0.79
"Everything is perfect, thanks!",Very Poor,1080p,1.0
Amazing gameplay and no lag at all!,Good,480p,0.87
Great commentary and visuals!,Poor,720p,1.0
"Everything is perfect, thanks!",Very Poor,480p,0.84
I’m having a blast watching this!,Very Poor,720p,0.98
Amazing gameplay and no lag at all!,Excellent,360p,0.92
The video quality is poor.,Very Poor,480p,0.24
"Loved the stream quality, keep it up!",Excellent,360p,0.97
"Everything is perfect, thanks!",Poor,720p,0.91
I’m having a blast watching this!,Moderate,720p,0.81
"Too much buffering, not enjoyable.",Excellent,1080p,0.36
Network is causing delays.,Good,480p,0.09
Great commentary and visuals!,Poor,360p,0.86
The video quality is poor.,Excellent,1080p,0.05
Mediocre experience.,Moderate,480p,0.46
Amazing gameplay and no lag at all!,Poor,720p,0.84
I’m having a blast watching this!,Moderate,360p,0.85
Great commentary and visuals!,Very Poor,480p,0.91
I’m having a blast watching this!,Good,720p,1.0
I’m having a blast watching this!,Very Poor,1080p,1.0
I’m having a blast watching this!,Poor,720p,0.97
Network is causing delays.,Moderate,360p,0.3
Stream kept freezing every few minutes.,Poor,360p,0.42
"Nothing special, just another game.",Moderate,480p,0.47
"Everything is perfect, thanks!",Moderate,720p,0.77
Audio was off sync. Please fix!,Good,480p,0.11
Network is causing delays.,Very Poor,360p,0.12
Great commentary and visuals!,Very Poor,1080p,0.9
Stream kept freezing every few minutes.,Good,720p,0.06
"Loved the stream quality, keep it up!",Very Poor,360p,1.0
"Everything is perfect, thanks!",Good,1080p,0.78
The video quality is poor.,Moderate,360p,0.11
The video quality is poor.,Moderate,1080p,0.09
Audio was off sync. Please fix!,Very Poor,1080p,0.42
Great commentary and visuals!,Good,1080p,0.9
Great commentary and visuals!,Excellent,360p,0.81
"Could be better, could be worse.",Very Poor,360p,0.76
The video quality is poor.,Excellent,360p,0.3
I’m having a blast watching this!,Poor,480p,0.9
Amazing gameplay and no lag at all!,Moderate,1080p,0.84
I’m having a blast watching this!,Good,1080p,0.93
Great commentary and visuals!,Poor,720p,0.84
I’m having a blast watching this!,Very Poor,1080p,0.87
"Everything is perfect, thanks!",Moderate,480p,0.9
"Everything is perfect, thanks!",Very Poor,1080p,1.0
"Everything is perfect, thanks!",Moderate,1080p,0.93
"Everything is perfect, thanks!",Moderate,1080p,0.88
Network is causing delays.,Very Poor,1080p,0.15
"Loved the stream quality, keep it up!",Good,480p,0.8
"Too much buffering, not enjoyable.",Very Poor,1080p,0.4
"Everything is perfect, thanks!",Good,480p,0.95
Stream kept freezing every few minutes.,Poor,480p,0.29
I’m having a blast watching this!,Poor,1080p,0.84
The video quality is poor.,Very Poor,720p,0.33
Amazing gameplay and no lag at all!,Excellent,1080p,0.9
Network is causing delays.,Poor,720p,0.15
"Could be better, could be worse.",Moderate,480p,0.58
Decent audio but poor video.,Good,1080p,0.54
"Loved the stream quality, keep it up!",Very Poor,480p,0.85
"Everything is perfect, thanks!",Good,1080p,0.86
Stream kept freezing every few minutes.,Poor,360p,0.31
"Loved the stream quality, keep it up!",Very Poor,360p,0.9
Network is causing delays.,Very Poor,480p,0.17
"Everything is perfect, thanks!",Very Poor,360p,0.8
Decent audio but poor video.,Good,1080p,0.73
Stream kept freezing every few minutes.,Excellent,360p,0.1
Great commentary and visuals!,Excellent,1080p,0.97
I’m having a blast watching this!,Excellent,720p,0.95
Audio was off sync. Please fix!,Excellent,1080p,0.25
The video quality is poor.,Excellent,720p,0.36
"Everything is perfect, thanks!",Good,480p,0.83
"Loved the stream quality, keep it up!",Good,480p,0.95
Amazing gameplay and no lag at all!,Excellent,720p,0.78
Decent audio but poor video.,Poor,720p,0.87
"Could be better, could be worse.",Moderate,720p,0.52
"Nothing special, just another game.",Excellent,360p,0.47
Decent audio but poor video.,Moderate,1080p,0.47
The video quality is poor.,Moderate,720p,0.3
"Too much buffering, not enjoyable.",Poor,720p,0.39
"Loved the stream quality, keep it up!",Excellent,720p,0.97
Stream kept freezing every few minutes.,Good,480p,0.44
The video quality is poor.,Excellent,360p,0.28
Audio was off sync. Please fix!,Excellent,480p,0.18
